lse
223459, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223492, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223526, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223560, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223592, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223626, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223660, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223693, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223726, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223760, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223792, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223825, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223858, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223892, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223924, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223956, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
223990, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224023, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224054, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224088, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224122, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224153, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224186, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224221, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224252, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224285, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224319, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224351, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224384, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224418, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224450, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224483, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224516, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224548, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224583, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224615, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224648, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224682, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
